model,nodes,time
notears,10,0.1872006893157959
notears,10,0.16259098052978516
notears,10,0.16021080017089845
notears,10,0.16282329559326172
notears,10,0.16499114036560059
notears,20,0.17150540351867677
notears,20,0.1644996166229248
notears,20,0.1541205883026123
notears,20,0.1665803909301758
notears,20,0.16106338500976564
notears,50,0.21985630989074706
notears,50,0.23681387901306153
notears,50,0.22889328002929688
notears,50,0.2444779396057129
notears,50,0.23267154693603515
notears,100,0.2576728343963623
notears,100,0.27064313888549807
notears,100,0.2758642673492432
notears,100,0.2727386474609375
notears,100,0.26659274101257324
notears,250,0.4208932876586914
notears,250,0.45605268478393557
notears,250,0.41764111518859864
notears,250,0.4547518253326416
notears,250,0.4254465579986572
notears,500,0.8004922866821289
notears,500,0.8848213195800781
notears,500,0.9783504962921142
notears,500,0.9161971569061279
notears,500,0.8686290264129639
notears,1000,2.9598239421844483
notears,1000,3.7248470783233643
notears,1000,3.900855875015259
notears,1000,3.9557302474975584
notears,1000,3.463848924636841
notears,2000,18.004147720336913
notears,2000,20.01433472633362
notears,2000,20.66083664894104
notears,2000,20.844699001312257
notears,2000,20.615801095962524
notears,4000,130.5493742465973
notears,4000,139.24470191001893
notears,4000,140.20412979125976
notears,4000,140.2014980316162
notears,4000,151.46041049957276
