model,nodes,time
dagma,10,0.18236970901489258
dagma,10,0.14553208351135255
dagma,10,0.14168972969055177
dagma,10,0.14245142936706542
dagma,10,0.14321093559265136
dagma,20,0.13733305931091308
dagma,20,0.15602540969848633
dagma,20,0.14097027778625487
dagma,20,0.15185961723327637
dagma,20,0.1436087131500244
dagma,50,0.19001078605651855
dagma,50,0.18560295104980468
dagma,50,0.19389514923095702
dagma,50,0.19182229042053223
dagma,50,0.19594149589538573
dagma,100,0.20104389190673827
dagma,100,0.21105880737304689
dagma,100,0.2086940288543701
dagma,100,0.21111693382263183
dagma,100,0.20368623733520508
dagma,250,0.25440635681152346
dagma,250,0.24535818099975587
dagma,250,0.25066580772399905
dagma,250,0.25725626945495605
dagma,250,0.2506404399871826
dagma,500,0.32410378456115724
dagma,500,0.3155344486236572
dagma,500,0.33078436851501464
dagma,500,0.31587834358215333
dagma,500,0.3212709426879883
dagma,1000,0.5243010520935059
dagma,1000,0.6068958282470703
dagma,1000,0.5932238101959229
dagma,1000,0.6031468391418457
dagma,1000,0.6061529159545899
dagma,2000,1.4725993156433106
dagma,2000,1.503114652633667
dagma,2000,1.5489018917083741
dagma,2000,1.540550136566162
dagma,2000,1.3547566890716554
dagma,4000,5.594363641738892
dagma,4000,5.782900333404541
dagma,4000,5.709118032455445
dagma,4000,5.587131357192993
dagma,4000,5.405255126953125
dagma,8000,27.94898729324341
dagma,8000,27.777752780914305
dagma,8000,27.902937841415405
dagma,8000,27.961698627471925
dagma,8000,27.670898294448854
dagma,16000,194.20360651016236
dagma,16000,195.3418646812439
dagma,16000,194.0433547973633
dagma,16000,194.2277530670166
dagma,16000,195.5460310935974
dagma,24000,603.804761505127
dagma,24000,603.3516936779022
dagma,24000,604.0527517318726
dagma,24000,604.0467483997345
dagma,24000,604.501805973053
