model,nodes,time
nocurl,10,0.1490636348724365
nocurl,10,0.14327592849731446
nocurl,10,0.1388979434967041
nocurl,10,0.1423828125
nocurl,10,0.14136013984680176
nocurl,20,0.14182777404785157
nocurl,20,0.13823018074035645
nocurl,20,0.13921947479248048
nocurl,20,0.1461392879486084
nocurl,20,0.14080357551574707
nocurl,50,0.15301299095153809
nocurl,50,0.13625240325927734
nocurl,50,0.14712071418762207
nocurl,50,0.1346048355102539
nocurl,50,0.1435389041900635
nocurl,100,0.20013937950134278
nocurl,100,0.20106744766235352
nocurl,100,0.19701991081237794
nocurl,100,0.19977617263793945
nocurl,100,0.19206600189208983
nocurl,250,0.23199014663696288
nocurl,250,0.23529162406921386
nocurl,250,0.24738969802856445
nocurl,250,0.2352086067199707
nocurl,250,0.23402910232543944
nocurl,500,0.2762791156768799
nocurl,500,0.29344849586486815
nocurl,500,0.2831979274749756
nocurl,500,0.30962495803833007
nocurl,500,0.2944096565246582
nocurl,1000,0.47081661224365234
nocurl,1000,0.4393047332763672
nocurl,1000,0.4477504253387451
nocurl,1000,0.458424711227417
nocurl,1000,0.46427226066589355
nocurl,2000,0.8630854606628418
nocurl,2000,0.8614674568176269
nocurl,2000,0.8807807445526123
nocurl,2000,0.8776208400726319
nocurl,2000,0.870569372177124
nocurl,4000,3.4893399715423583
nocurl,4000,3.4735722064971926
nocurl,4000,3.5668501377105715
nocurl,4000,3.453614521026611
nocurl,4000,3.4948791027069093
nocurl,8000,12.05270700454712
nocurl,8000,12.107959651947022
nocurl,8000,12.16499638557434
nocurl,8000,12.16821117401123
nocurl,8000,12.00640778541565
nocurl,16000,50.562804794311525
nocurl,16000,50.48198990821838
nocurl,16000,51.071719121932986
nocurl,16000,50.73718318939209
nocurl,16000,50.73750958442688
nocurl,24000,114.65627884864807
nocurl,24000,113.57058281898499
nocurl,24000,114.26608314514161
nocurl,24000,113.14590306282044
nocurl,24000,113.03411626815796
