trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,eval/priority_l2_norm,eval/priority_diff_mean,eval/priority_diff_std,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/adj_reg,hparam/priority_reg,hparam/init_temperature,hparam/temperature,hparam/shift,hparam/hard_threshold,hparam/symmetric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/adj_reg,config/priority_reg,config/hidden_size,config/init_temperature,config/temperature,config/shift,config/hard_threshold,config/anneal,config/symmetric
c0c0d_00000,1.65425,1323.4,0.9647648902821316,0.2814998336729076,0.7185001663270925,0.823396616695584,0.9979321875,0.0019016661170521809,0.0,0.9961340004909858,1280.7136097724,3.1443965435028076,0.09408053010702133,0.1251230239868164,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.008573312125447308,0.02123086283426496,0.026104690573249663,0.45,0.002,0.01,0.0,0.0,6452.119938373566,True,,,1,2ed5fc3eea8d402a9dc3670669c6151f,2023-05-03_12-25-11,1683109511,6452.119938373566,51986,hostname,127.0.0.1,6452.119938373566,0,1,0.004452228546142578,"0_adj_reg=0.0212,learning_rate=0.0086,priority_reg=0.0261",0.3,False,64,2000,False,0.008573312125447308,0.02123086283426496,0.026104690573249663,,0.45,0.002,0.01,False,cosine,False
c0c0d_00001,7.442749999999999,5954.2,0.8008150470219435,0.6749418925616908,0.3250581074383092,0.4622540697609351,0.9906965624999999,0.008352255774877882,0.0,0.9246713800108386,1341.2415254608002,17.11191177368164,0.1012519970536232,0.15849778056144714,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.00013366260325651917,0.012651325721913529,0.022301749948468046,0.45,0.002,0.01,0.0,0.0,6754.395557165146,True,,,1,3d8e8df826464e55977aad60b0d43a24,2023-05-03_12-30-18,1683109818,6754.395557165146,52054,hostname,127.0.0.1,6754.395557165146,0,1,0.004913330078125,"1_adj_reg=0.0127,learning_rate=0.0001,priority_reg=0.0223",0.3,False,64,2000,False,0.00013366260325651917,0.012651325721913529,0.022301749948468046,,0.45,0.002,0.01,False,cosine,False
c0c0d_00002,24.6585,19726.8,0.904576802507837,0.8562570871526646,0.14374291284733537,0.2455729569352089,0.9691768749999999,0.03049952105023477,0.0,0.9590093405418731,1311.7238428574,142.39898681640625,2.0208849906921387,2.2046446800231934,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.07181163955024265,0.01115493614670628,0.024798372754203664,0.45,0.002,0.01,0.0,0.0,6552.909124135971,True,,,1,b6b377ea4b314f09adc1a4a5ed5eaf64,2023-05-03_12-26-57,1683109617,6552.909124135971,52057,hostname,127.0.0.1,6552.909124135971,0,1,0.004485368728637695,"2_adj_reg=0.0112,learning_rate=0.0718,priority_reg=0.0248",0.3,False,64,2000,False,0.07181163955024265,0.01115493614670628,0.024798372754203664,,0.45,0.002,0.01,False,cosine,False
c0c0d_00003,5.588749999999999,4471.0,0.9331034482758621,0.5862998566830704,0.41370014331692956,0.5725970631418915,0.9930140625,0.006685824657276118,0.0,0.992544181842106,1308.5216436340002,4.424069404602051,0.03213124722242355,0.04541686549782753,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0006699947255090813,0.01094106539282297,0.0308809345830263,0.45,0.002,0.01,0.0,0.0,6620.773348808289,True,,,1,2f47fa4d2164438ba5ebb55b89814b92,2023-05-03_12-28-06,1683109686,6620.773348808289,52060,hostname,127.0.0.1,6620.773348808289,0,1,0.007652759552001953,"3_adj_reg=0.0109,learning_rate=0.0007,priority_reg=0.0309",0.3,False,64,2000,False,0.0006699947255090813,0.01094106539282297,0.0308809345830263,,0.45,0.002,0.01,False,cosine,False
c0c0d_00004,3.5572500000000007,2845.8,0.9034482758620689,0.46416647724245036,0.5358335227575497,0.6716095152863336,0.9955534374999999,0.003985176112184163,0.0,0.9884649681437734,1568.5944745492,12.477398872375488,0.13221058249473572,0.10655488818883896,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.001000230308603493,0.054749223499593214,0.003095508343678609,0.45,0.002,0.01,0.0,0.0,7851.720428943634,True,,,1,cb7ba9ec47ca48c3b92eb97a2c32752d,2023-05-03_12-48-37,1683110917,7851.720428943634,52062,hostname,127.0.0.1,7851.720428943634,0,1,0.0065190792083740234,"4_adj_reg=0.0547,learning_rate=0.0010,priority_reg=0.0031",0.3,False,64,2000,False,0.001000230308603493,0.054749223499593214,0.003095508343678609,,0.45,0.002,0.01,False,cosine,False
c0c0d_00005,3.1912499999999997,2553.0,0.9374294670846395,0.4366415439206131,0.5633584560793868,0.7027925817619424,0.9960109375,0.003695607795103717,0.0,0.9849496392161183,1409.508681334,26.379053115844727,0.17420558631420135,0.21442918479442596,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.01399950258903788,0.01513319582377876,0.001442275632078645,0.45,0.002,0.01,0.0,0.0,7069.217701911926,True,,,1,c2ca927fb1804b20acda61502d0e9488,2023-05-03_12-35-33,1683110133,7069.217701911926,52065,hostname,127.0.0.1,7069.217701911926,0,1,0.00409245491027832,"5_adj_reg=0.0151,learning_rate=0.0140,priority_reg=0.0014",0.3,False,64,2000,False,0.01399950258903788,0.015133195823778763,0.001442275632078645,,0.45,0.002,0.01,False,cosine,False
c0c0d_00006,13.675999999999998,10940.8,0.889090909090909,0.7343515056101362,0.26564849438986377,0.3987555342479239,0.982905,0.016625052998539603,0.0,0.9602266552539822,1457.842175021,62.40343475341797,0.8886665105819702,1.1280748844146729,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.047490325905251145,0.023421271926299524,0.05465536900682102,0.45,0.002,0.01,0.0,0.0,7288.084189176559,True,,,1,7a353ebd19f74da5beb9389c66a27970,2023-05-03_12-39-11,1683110351,7288.084189176559,52067,hostname,127.0.0.1,7288.084189176559,0,1,0.00478672981262207,"6_adj_reg=0.0234,learning_rate=0.0475,priority_reg=0.0547",0.3,False,64,2000,False,0.047490325905251145,0.023421271926299524,0.05465536900682102,,0.45,0.002,0.01,False,cosine,False
c0c0d_00007,5.965750000000001,4772.6,0.6001253918495297,0.6519943946517085,0.34800560534829156,0.4359468708688694,0.9925428125,0.005491433865674233,0.0,0.7638805309910944,1458.780609267,15.96191692352295,0.26422494649887085,0.24897098541259766,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.00013273482936628956,0.07096727450209066,0.08824246920749552,0.45,0.002,0.01,0.0,0.0,7328.477830410004,True,,,1,51048d2f07b1491c915ec5fc66b97ccc,2023-05-03_12-39-54,1683110394,7328.477830410004,52069,hostname,127.0.0.1,7328.477830410004,0,1,0.00538182258605957,"7_adj_reg=0.0710,learning_rate=0.0001,priority_reg=0.0882",0.3,False,64,2000,False,0.00013273482936628956,0.07096727450209066,0.08824246920749552,,0.45,0.002,0.01,False,cosine,False
c0c0d_00008,2.35,1880.0,0.9420062695924765,0.3559009040535991,0.6440990959464009,0.7639155779054032,0.9970625,0.002661704433033396,0.0,0.9909143251194396,1446.087005243,5.983631134033203,0.11151416599750519,0.08848799765110016,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.005357383000295773,0.028415312483491932,0.006933316556450418,0.45,0.002,0.01,0.0,0.0,7260.723779678345,True,,,1,df58a732d20c426da9362da279a740d0,2023-05-03_12-38-46,1683110326,7260.723779678345,52072,hostname,127.0.0.1,7260.723779678345,0,1,0.00549626350402832,"8_adj_reg=0.0284,learning_rate=0.0054,priority_reg=0.0069",0.3,False,64,2000,False,0.005357383000295773,0.028415312483491936,0.006933316556450418,,0.45,0.002,0.01,False,cosine,False
c0c0d_00009,3.4457500000000003,2756.6,0.9499059561128526,0.45403344981325466,0.5459665501867453,0.6912587625996318,0.9956928125,0.00407782541103312,0.0,0.9956056429187429,1398.5298613661998,2.7753210067749023,0.07349596917629242,0.08653126657009125,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0033197305240851302,0.014308219016427948,0.025079721834218298,0.45,0.002,0.01,0.0,0.0,7055.665962696075,True,,,1,b13925606ebe499da9a33da44131ade0,2023-05-03_12-35-19,1683110119,7055.665962696075,52074,hostname,127.0.0.1,7055.665962696075,0,1,0.004746675491333008,"9_adj_reg=0.0143,learning_rate=0.0033,priority_reg=0.0251",0.3,False,64,2000,False,0.00331973052408513,0.014308219016427948,0.025079721834218298,,0.45,0.002,0.01,False,cosine,False
