trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,eval/priority_l2_norm,eval/priority_diff_mean,eval/priority_diff_std,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/l1_adj_reg,hparam/l2_adj_reg,hparam/priority_reg,hparam/init_temperature,hparam/temperature,hparam/shift,hparam/hard_threshold,hparam/symmetric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/l1_adj_reg,config/l2_adj_reg,config/priority_reg,config/hidden_size,config/init_temperature,config/temperature,config/shift,config/hard_threshold,config/anneal,config/symmetric
58214_00153,5.178800000000001,2589.4,0.70580731789191,0.4433991350706127,0.5566008649293872,0.6206495551417589,0.9896423999999999,0.0069346330878751195,0.0,0.9140495902786194,2695.7662893509987,26.863388061523438,0.4085916578769684,0.34700343012809753,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0013190384845346659,0.0009604963141826848,0.0012638836723259824,0.001345933538780809,0.45,0.000947736257011121,0.0054259138776103985,0.0,0.0,13577.093205213547,True,,,1,a77c9b6cc4e4444a816fbe4c9b1d04bc,2023-05-18_06-21-15,1684383675,13577.093205213547,397402,c01,172.16.6.1,13577.093205213547,0,1,0.012558221817016602,"153_l1_adj_reg=0.0010,l2_adj_reg=0.0013,learning_rate=0.0013,priority_reg=0.0013,shift=0.0054,temperature=0.0009",0.3,False,64,2000,False,0.0013190384845346659,0.0009604963141826848,0.0012638836723259824,0.001345933538780809,,0.45,0.000947736257011121,0.0054259138776103985,False,cosine,False
58214_00154,3.2963999999999998,1648.2,0.8110104061765695,0.3079417761933458,0.6920582238066542,0.7463551831749734,0.9934072,0.004393148760631682,0.0,0.9604043613846944,2683.252907955802,23.694133758544922,0.24104520678520203,0.26143765449523926,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.005829670449410723,0.0007042920445388266,0.0030315741828071925,0.0024620274074443295,0.45,0.0009876163376755691,0.009506786144336078,0.0,0.0,13504.73251247406,True,,,1,0713a50b3a8e4235b4e203a32dea6b5d,2023-05-18_06-20-53,1684383653,13504.73251247406,398897,c01,172.16.6.1,13504.73251247406,0,1,0.02246379852294922,"154_l1_adj_reg=0.0007,l2_adj_reg=0.0030,learning_rate=0.0058,priority_reg=0.0025,shift=0.0095,temperature=0.0010",0.3,False,64,2000,False,0.005829670449410723,0.0007042920445388266,0.0030315741828071925,0.0024620274074443295,,0.45,0.0009876163376755691,0.009506786144336078,False,cosine,False
58214_00155,6.045999999999999,3023.0,0.7709969788519638,0.5061256587355567,0.4938743412644433,0.601319098339728,0.987908,0.009476117415118557,0.0,0.8992100923955268,2679.691300364201,20.654386520385742,0.31501704454421997,0.2796202301979065,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0010433527216745363,0.0002809519626772266,0.00201470256288296,0.0019377905890703303,0.45,0.0006994748578949272,0.00936106835221702,0.0,0.0,13484.38315820694,True,,,1,8b32a9bea4fc486599ad118150a2ec39,2023-05-18_06-22-03,1684383723,13484.38315820694,399318,c01,172.16.6.1,13484.38315820694,0,1,0.029549360275268555,"155_l1_adj_reg=0.0003,l2_adj_reg=0.0020,learning_rate=0.0010,priority_reg=0.0019,shift=0.0094,temperature=0.0007",0.3,False,64,2000,False,0.0010433527216745363,0.0002809519626772266,0.00201470256288296,0.0019377905890703303,,0.45,0.0006994748578949272,0.00936106835221702,False,cosine,False
58214_00156,7.8708,3935.4,0.7303793219201073,0.5860756434003273,0.41392435659967275,0.5277766878106963,0.9842583999999999,0.012679893612283966,0.0,0.8607665781980401,2662.0932739848004,21.04629898071289,0.303352028131485,0.3073318302631378,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0014402647735089916,0.000144852402519432,0.0013462671420073756,0.0017210493487475793,0.45,0.0005994776319365005,0.011661355843727067,0.0,0.0,13405.755908966064,True,,,1,74e2d817c6af4b1ebd947b262f0612e3,2023-05-18_06-22-25,1684383745,13405.755908966064,397995,c01,172.16.6.1,13405.755908966064,0,1,0.023456096649169922,"156_l1_adj_reg=0.0001,l2_adj_reg=0.0013,learning_rate=0.0014,priority_reg=0.0017,shift=0.0117,temperature=0.0006",0.3,False,64,2000,False,0.0014402647735089916,0.000144852402519432,0.0013462671420073756,0.0017210493487475793,,0.45,0.0005994776319365005,0.011661355843727067,False,cosine,False
58214_00157,6.1276,3063.8,0.8356495468277945,0.5059143517005253,0.49408564829947466,0.6206909724694184,0.9877448,0.010420976354237088,0.0,0.9393038826283397,2679.453156820599,23.608051300048828,0.28042998909950256,0.2753007113933563,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.002505240447578081,0.00018009355371150076,0.004306079437005855,0.0010100279033115505,0.45,0.0005606004335971159,0.010576844884944479,0.0,0.0,13474.294610977173,True,,,1,9c79a29554e14ca1899f0b54153c69fa,2023-05-18_06-23-44,1684383824,13474.294610977173,398420,c01,172.16.6.1,13474.294610977173,0,1,0.01690053939819336,"157_l1_adj_reg=0.0002,l2_adj_reg=0.0043,learning_rate=0.0025,priority_reg=0.0010,shift=0.0106,temperature=0.0006",0.3,False,64,2000,False,0.002505240447578081,0.00018009355371150076,0.004306079437005855,0.0010100279033115505,,0.45,0.0005606004335971159,0.010576844884944479,False,cosine,False
58214_00158,5.5068,2753.4,0.760657938905673,0.47022966826339657,0.5297703317366034,0.6240698327465262,0.9889863999999999,0.008260026475481852,0.0,0.9059776205993003,2678.0433208463983,22.73920440673828,0.35667696595191956,0.32179850339889526,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0010015908384160787,0.00048214320180347983,0.004367774898115267,0.002564993528121216,0.45,0.000843337951937212,0.01413965872476953,0.0,0.0,13477.71712398529,True,,,1,2151ba5950fc4417b33fa77da37ac187,2023-05-18_06-24-39,1684383879,13477.71712398529,398220,c01,172.16.6.1,13477.71712398529,0,1,0.013911962509155273,"158_l1_adj_reg=0.0005,l2_adj_reg=0.0044,learning_rate=0.0010,priority_reg=0.0026,shift=0.0141,temperature=0.0008",0.3,False,64,2000,False,0.0010015908384160787,0.0004821432018034798,0.004367774898115267,0.002564993528121216,,0.45,0.0008433379519372119,0.01413965872476953,False,cosine,False
58214_00159,6.208,3104.0,0.7611278952668681,0.5122424268611196,0.4877575731388803,0.5939080978838542,0.987584,0.009685006537905693,0.0,0.8917256591477581,2660.8497061750013,22.282676696777344,0.2940366268157959,0.29056280851364136,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0012831837410408377,0.00024188754935091107,0.0029920680452150228,0.0024634382615901103,0.45,0.0005970676329125185,0.006582493081989054,0.0,0.0,13381.341943502426,True,,,1,5ac46ccd8e1a4bd6b1bf70814daf8a52,2023-05-18_06-24-34,1684383874,13381.341943502426,398763,c01,172.16.6.1,13381.341943502426,0,1,0.017675399780273438,"159_l1_adj_reg=0.0002,l2_adj_reg=0.0030,learning_rate=0.0013,priority_reg=0.0025,shift=0.0066,temperature=0.0006",0.3,False,64,2000,False,0.0012831837410408377,0.00024188754935091107,0.0029920680452150228,0.0024634382615901103,,0.45,0.0005970676329125185,0.006582493081989054,False,cosine,False
58214_00160,6.0052,3002.6,0.8283987915407854,0.5020649547833103,0.4979350452166897,0.6219011062639793,0.9879895999999999,0.010085782180462388,0.0,0.952735750529255,2641.6115217176,30.952831268310547,0.3797787129878998,0.34413275122642517,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0026510903546844533,0.00041856964012471786,0.0010928023586314446,0.0010764789610582736,0.45,0.0008931508929023587,0.019594822214075335,0.0,0.0,13295.095814704895,True,,,1,183c7078bae5415e9b8817efe2ac4faf,2023-05-18_06-28-23,1684384103,13295.095814704895,399107,c01,172.16.6.1,13295.095814704895,0,1,0.037203073501586914,"160_l1_adj_reg=0.0004,l2_adj_reg=0.0011,learning_rate=0.0027,priority_reg=0.0011,shift=0.0196,temperature=0.0009",0.3,False,64,2000,False,0.0026510903546844533,0.00041856964012471786,0.0010928023586314446,0.0010764789610582736,,0.45,0.0008931508929023587,0.019594822214075335,False,cosine,False
58214_00161,4.4056,2202.8,0.8710305471634777,0.39803832805569284,0.6019616719443072,0.708561585813041,0.9911888,0.007362127106602267,0.0,0.9727928971751595,2579.498304518799,28.542505264282227,0.24100637435913086,0.26252204179763794,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.00616096527866411,0.00032545316321398715,0.0020024999665575667,0.0010577914285310407,0.45,0.0008118496618796269,0.01380332439149921,0.0,0.0,12977.772349596024,True,,,1,e684f1033483402e93dcb402f70842ee,2023-05-18_06-28-21,1684384101,12977.772349596024,398965,c01,172.16.6.1,12977.772349596024,0,1,0.021234512329101562,"161_l1_adj_reg=0.0003,l2_adj_reg=0.0020,learning_rate=0.0062,priority_reg=0.0011,shift=0.0138,temperature=0.0008",0.3,False,64,2000,False,0.00616096527866411,0.00032545316321398715,0.0020024999665575667,0.0010577914285310407,,0.45,0.0008118496618796269,0.013803324391499212,False,cosine,False
58214_00162,6.0032000000000005,3001.6,0.8559248069822087,0.49755143326772905,0.5024485667322709,0.6320968297568894,0.9879936,0.010413689524372405,0.0,0.9630129729583803,1962.730750927601,21.62375259399414,0.19566228985786438,0.20358991622924805,2.0,500.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0017647070237280424,0.00015633395799191332,0.0013630654871595613,0.0016533313409153754,0.45,0.0005443742679399885,0.011042441833844844,0.0,0.0,9813.427353143692,True,,,1,b18803d1164544aab155e6dac729407d,2023-05-18_07-50-16,1684389016,9813.427353143692,395854,c01,172.16.6.1,9813.427353143692,0,1,0.0049707889556884766,"162_l1_adj_reg=0.0002,l2_adj_reg=0.0014,learning_rate=0.0018,priority_reg=0.0017,shift=0.0110,temperature=0.0005",0.3,False,64,2000,False,0.0017647070237280424,0.00015633395799191332,0.0013630654871595613,0.0016533313409153754,,0.45,0.0005443742679399885,0.011042441833844844,False,cosine,False
