trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,eval/priority_l2_norm,eval/priority_diff_mean,eval/priority_diff_std,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/l1_adj_reg,hparam/l2_adj_reg,hparam/priority_reg,hparam/init_temperature,hparam/temperature,hparam/shift,hparam/hard_threshold,hparam/symmetric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/l1_adj_reg,config/l2_adj_reg,config/priority_reg,config/hidden_size,config/init_temperature,config/temperature,config/shift,config/hard_threshold,config/anneal,config/symmetric
74cb8_00000,2.2033333333333336,66.1,0.8118181818181818,0.33459125940363377,0.6654087405963662,0.7304049992176151,0.9265555555555555,0.05746835443037973,0.0,0.9415972382048331,172.69385434190002,0.6951867341995239,0.02292771264910698,0.017577284947037697,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.001452672009008326,0.0005281018169565765,0.0019648642177170525,0.0010031690447148444,0.45,0.0007100760024570864,0.009718529797932932,0.0,0.0,1730.3455085754395,True,,,1,e226e38506924e868fa1f86b100a298e,2023-05-13_16-43-17,1683988997,1730.3455085754395,364976,c17,172.16.6.17,1730.3455085754395,0,1,0.00584864616394043,"0_l1_adj_reg=0.0005,l2_adj_reg=0.0020,learning_rate=0.0015,priority_reg=0.0010,shift=0.0097,temperature=0.0007",0.3,False,64,2000,False,0.001452672009008326,0.0005281018169565765,0.0019648642177170525,0.0010031690447148444,,0.45,0.0007100760024570864,0.009718529797932932,False,cosine,False
74cb8_00001,1.98,59.4,0.8354545454545456,0.30671542772620775,0.6932845722737924,0.7564839774625981,0.9339999999999999,0.052278481012658216,0.0,0.9495811277330264,171.2242092065,0.6151729822158813,0.026583204045891762,0.021357713267207146,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.0027909289229726105,0.00024066965583029052,0.0010827554763567033,0.0017067571190651394,0.45,0.0009824002963507348,0.01089764331916848,0.0,0.0,1715.5168509483337,True,,,1,82d821f5ee084fcab5b9da97fb12e370,2023-05-13_16-43-06,1683988986,1715.5168509483337,365056,c17,172.16.6.17,1715.5168509483337,0,1,0.004701852798461914,"1_l1_adj_reg=0.0002,l2_adj_reg=0.0011,learning_rate=0.0028,priority_reg=0.0017,shift=0.0109,temperature=0.0010",0.3,False,64,2000,False,0.002790928922972611,0.0002406696558302905,0.0010827554763567033,0.0017067571190651394,,0.45,0.0009824002963507346,0.01089764331916848,False,cosine,False
74cb8_00002,2.4899999999999998,74.7,0.809090909090909,0.3645904960175616,0.6354095039824383,0.7094427354166657,0.917,0.06797468354430379,0.0,0.9160788262370542,169.42103496680002,0.8178426623344421,0.061729155480861664,0.054275911301374435,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.003833888182642143,0.0003879287922213068,0.0025503815933077,0.001480633498377126,0.45,0.0006455076236750783,0.014082000091335534,0.0,0.0,1697.180979013443,True,,,1,514c9c7b0666474f889f3b7d97899408,2023-05-13_16-42-48,1683988968,1697.180979013443,365058,c17,172.16.6.17,1697.180979013443,0,1,0.004669904708862305,"2_l1_adj_reg=0.0004,l2_adj_reg=0.0026,learning_rate=0.0038,priority_reg=0.0015,shift=0.0141,temperature=0.0006",0.3,False,64,2000,False,0.0038338881826421424,0.0003879287922213068,0.0025503815933077,0.001480633498377126,,0.45,0.0006455076236750782,0.014082000091335534,False,cosine,False
74cb8_00003,1.823333333333333,54.7,0.8436363636363637,0.2855645725727928,0.7144354274272072,0.7728892812740595,0.9392222222222223,0.04746835443037974,0.0,0.9579649021864214,172.15056734249998,0.33628568053245544,0.029875153675675392,0.023700561374425888,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.002479230775687221,0.0008213918461343527,0.003245758455637715,0.001878301447794728,0.45,0.0009779700478773838,0.011707715541846912,0.0,0.0,1722.9829242229462,True,,,1,e77dda1ada4849c48549ac26cfb9cdea,2023-05-13_16-43-14,1683988994,1722.9829242229462,365060,c17,172.16.6.17,1722.9829242229462,0,1,0.006557941436767578,"3_l1_adj_reg=0.0008,l2_adj_reg=0.0032,learning_rate=0.0025,priority_reg=0.0019,shift=0.0117,temperature=0.0010",0.3,False,64,2000,False,0.0024792307756872204,0.0008213918461343527,0.0032457584556377147,0.0018783014477947281,,0.45,0.0009779700478773838,0.011707715541846912,False,cosine,False
74cb8_00004,1.17,35.1,0.9345454545454546,0.19044498337887245,0.8095550166211275,0.8636216264450294,0.961,0.03531645569620252,0.0,0.9710207134637514,172.3892858689,0.7165141701698303,0.10509277880191803,0.08682030439376831,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.008295459360084523,0.00010416481813591713,0.0012204803734680025,0.002612084886836972,0.45,0.0007265309730541474,0.008855454427701555,0.0,0.0,1726.0061464309692,True,,,1,1df856c52e374eeab1599508cc4d10da,2023-05-13_16-43-17,1683988997,1726.0061464309692,365062,c17,172.16.6.17,1726.0061464309692,0,1,0.004461050033569336,"4_l1_adj_reg=0.0001,l2_adj_reg=0.0012,learning_rate=0.0083,priority_reg=0.0026,shift=0.0089,temperature=0.0007",0.3,False,64,2000,False,0.008295459360084523,0.00010416481813591713,0.0012204803734680025,0.002612084886836972,,0.45,0.0007265309730541474,0.008855454427701555,False,cosine,False
74cb8_00005,1.5033333333333334,45.1,0.8718181818181818,0.24105015196688626,0.7589498480331137,0.8107410476168913,0.9498888888888889,0.039240506329113925,0.0,0.9558970080552358,173.92287191089997,0.8899909853935242,0.05464325100183487,0.047183770686388016,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.005053371471151804,0.0006845010616312694,0.001175721567392195,0.002091438703793018,0.45,0.0007034715318198717,0.013373122164053675,0.0,0.0,1742.3163068294525,True,,,1,b04fc10dd0a6437dbbbfcc5b8319df0c,2023-05-13_16-43-39,1683989019,1742.3163068294525,365303,c17,172.16.6.17,1742.3163068294525,0,1,0.004591941833496094,"5_l1_adj_reg=0.0007,l2_adj_reg=0.0012,learning_rate=0.0051,priority_reg=0.0021,shift=0.0134,temperature=0.0007",0.3,False,64,2000,False,0.005053371471151803,0.0006845010616312694,0.001175721567392195,0.002091438703793018,,0.45,0.0007034715318198717,0.013373122164053675,False,cosine,False
74cb8_00006,1.4433333333333334,43.3,0.8872727272727271,0.23473751135764762,0.7652624886423525,0.8205080391794644,0.9518888888888888,0.039113924050632944,0.0,0.9619056386651323,172.32596601199998,0.5006893277168274,0.06465823948383331,0.05660833790898323,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.005365414338672379,0.0004034463523974655,0.0017712338945811933,0.001903886866782432,0.45,0.0009670669276616616,0.011064742140634609,0.0,0.0,1725.7065644264221,True,,,1,ab3ae81a38124879a739a09e750f7394,2023-05-13_16-43-22,1683989002,1725.7065644264221,365307,c17,172.16.6.17,1725.7065644264221,0,1,0.00493621826171875,"6_l1_adj_reg=0.0004,l2_adj_reg=0.0018,learning_rate=0.0054,priority_reg=0.0019,shift=0.0111,temperature=0.0010",0.3,False,64,2000,False,0.005365414338672379,0.0004034463523974655,0.001771233894581193,0.0019038868667824323,,0.45,0.0009670669276616616,0.01106474214063461,False,cosine,False
74cb8_00007,1.8333333333333333,55.0,0.8454545454545455,0.28647100515274415,0.7135289948472558,0.7728205027762239,0.9388888888888889,0.048101265822784824,0.0,0.9505143843498274,178.53456781849997,0.8276659846305847,0.04455982893705368,0.03674924746155739,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.004159784621966011,0.00031317244621468685,0.0011375891081965045,0.0014923285479111034,0.45,0.0009200892651490217,0.01139023260144203,0.0,0.0,1790.7103869915009,True,,,1,8dabaad8b57a4b92b1491d7ee6ec703e,2023-05-13_16-44-27,1683989067,1790.7103869915009,365309,c17,172.16.6.17,1790.7103869915009,0,1,0.004559755325317383,"7_l1_adj_reg=0.0003,l2_adj_reg=0.0011,learning_rate=0.0042,priority_reg=0.0015,shift=0.0114,temperature=0.0009",0.3,False,64,2000,False,0.0041597846219660105,0.00031317244621468685,0.0011375891081965043,0.0014923285479111034,,0.45,0.0009200892651490216,0.011390232601442028,False,cosine,False
74cb8_00008,1.9966666666666668,59.9,0.8281818181818181,0.30400387288304714,0.6959961271169528,0.7541646125667816,0.9334444444444443,0.05189873417721521,0.0,0.941740506329114,172.6519587551,0.8614412546157837,0.03297401964664459,0.03957444429397583,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.002124025395301719,0.0001345944421386961,0.004841148141041244,0.002595466696382424,0.45,0.0005138760214694409,0.007895426913883698,0.0,0.0,1729.5610048770905,True,,,1,73e62e667ae849b2a183d4410fcb6055,2023-05-13_16-43-26,1683989006,1729.5610048770905,365311,c17,172.16.6.17,1729.5610048770905,0,1,0.004733562469482422,"8_l1_adj_reg=0.0001,l2_adj_reg=0.0048,learning_rate=0.0021,priority_reg=0.0026,shift=0.0079,temperature=0.0005",0.3,False,64,2000,False,0.002124025395301719,0.0001345944421386961,0.004841148141041244,0.0025954666963824238,,0.45,0.000513876021469441,0.007895426913883697,False,cosine,False
74cb8_00009,2.353333333333333,70.6,0.7718181818181817,0.33647207461365297,0.6635279253863471,0.7106035112837009,0.9215555555555556,0.05759493670886077,0.0,0.9215719217491369,179.25994450200002,0.6822007298469543,0.04959098994731903,0.0419723317027092,4.5,30.0,1000.0,0.29999999999999993,0.0,64.0,2000.0,0.0,0.004242818314677191,0.00017177648202544837,0.002063619273301448,0.0016019334672137038,0.45,0.0009717515878156698,0.016827040756769506,0.0,0.0,1796.8725736141205,True,,,1,9bf6b3bbabff47e5a09e850a1eff5eba,2023-05-13_16-44-38,1683989078,1796.8725736141205,365554,c17,172.16.6.17,1796.8725736141205,0,1,0.005966901779174805,"9_l1_adj_reg=0.0002,l2_adj_reg=0.0021,learning_rate=0.0042,priority_reg=0.0016,shift=0.0168,temperature=0.0010",0.3,False,64,2000,False,0.004242818314677191,0.00017177648202544834,0.0020636192733014484,0.0016019334672137035,,0.45,0.0009717515878156699,0.01682704075676951,False,cosine,False
