trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/prethreshold,hparam/compute_weights,hparam/joint_learn,hparam/progress_rate,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/multiplier,config/prethreshold,config/compute_weights,config/joint_learn,config/progress_rate
b2430_00056,0.6479999999999999,64.8,0.937,0.21141251855077195,0.7885874814492281,0.854942975459197,0.99352,0.0,0.9548413775510204,540.6627600506001,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,1.0,0.0276296980078785,0.00013622699576770785,0.3,0.0,0.0,0.25,2700.793986082077,True,,,1,f977eb2d4bcb4673bb598960dd222820,2023-03-29_11-58-11,1680083891,2700.793986082077,117498,hostname,127.0.0.1,2700.793986082077,0,1,0.004321575164794922,"56_early_stop=True,lambda_reg=0.0001,learning_rate=0.0276,max_epochs=5000",0.3,False,256,5000,True,0.027629698007878498,0.00013622699576770785,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00057,1.022,102.2,0.9189999999999999,0.31758878245823574,0.6824112175417643,0.7827869135400572,0.98978,0.0,0.9576559183673471,532.6622233626,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,0.0,0.0023860766241501825,0.001659113054703594,0.3,0.0,0.0,0.25,2660.4314661026,True,,,1,988e1ef86a164b7d92079d38715f94ff,2023-03-29_11-57-37,1680083857,2660.4314661026,117495,hostname,127.0.0.1,2660.4314661026,0,1,0.017468690872192383,"57_early_stop=False,lambda_reg=0.0017,learning_rate=0.0024,max_epochs=5000",0.3,False,256,5000,False,0.0023860766241501825,0.001659113054703594,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00058,0.434,43.4,0.9470000000000001,0.1452805727334624,0.8547194272665376,0.8980212654354531,0.99566,0.0,0.96480193877551,991.3755199548001,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,1.0,0.030279483445578535,0.00015705637835936105,0.3,0.0,0.0,0.25,4950.559184551239,True,,,1,fac75288e19247c5a49d8da2e38c12ac,2023-03-29_12-35-48,1680086148,4950.559184551239,117329,hostname,127.0.0.1,4950.559184551239,0,1,0.003832578659057617,"58_early_stop=True,lambda_reg=0.0002,learning_rate=0.0303,max_epochs=10000",0.3,False,256,10000,True,0.03027948344557854,0.00015705637835936105,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00059,0.49399999999999994,49.4,0.8629999999999999,0.11318629332595107,0.8868137066740489,0.8746619056431151,0.99506,0.0,0.9299477040816326,1074.4301296661997,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,0.0,0.0359551978743698,0.0030565652629895974,0.3,0.0,0.0,0.25,5367.106208086014,True,,,1,c681ef390b6a49e78460491014d0a011,2023-03-29_12-42-46,1680086566,5367.106208086014,117445,hostname,127.0.0.1,5367.106208086014,0,1,0.004591226577758789,"59_early_stop=False,lambda_reg=0.0031,learning_rate=0.0360,max_epochs=10000",0.3,False,256,10000,False,0.0359551978743698,0.0030565652629895974,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00060,1.222,122.2,0.78,0.32647108043158646,0.6735289195684135,0.7212738286043957,0.9877800000000001,0.0,0.8789138775510205,108.95545948860004,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,1.0,0.0586911252621817,0.003100156990457305,0.3,0.0,0.0,0.25,544.5539166927338,True,,,1,6e04e652fe9a425d994e6b28ff31b6e6,2023-03-29_11-22-27,1680081747,544.5539166927338,117406,hostname,127.0.0.1,544.5539166927338,0,1,0.004812717437744141,"60_early_stop=True,lambda_reg=0.0031,learning_rate=0.0587,max_epochs=1000",0.3,False,256,1000,True,0.058691125262181704,0.003100156990457305,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00061,1.6920000000000002,169.2,0.7699999999999999,0.43766016260909585,0.5623398373909041,0.6484651791519107,0.98308,0.0,0.8489268877551019,101.37236185220002,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,0.0,0.09579831770786172,0.00016372913618168015,0.3,0.0,0.0,0.25,506.47341322898865,True,,,1,45f4433399c04b4c8bb5c049a2d5b36e,2023-03-29_11-21-49,1680081709,506.47341322898865,117421,hostname,127.0.0.1,506.47341322898865,0,1,0.00429081916809082,"61_early_stop=False,lambda_reg=0.0002,learning_rate=0.0958,max_epochs=1000",0.3,False,256,1000,False,0.09579831770786172,0.00016372913618168015,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00062,1.5939999999999999,159.4,0.394,0.314419791332264,0.6855802086677361,0.4981589707245009,0.98406,0.0,0.7144291836734695,501.6138380010001,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,1.0,0.052892973381492916,0.02010433737679538,0.3,0.0,0.0,0.25,2505.1541974544525,True,,,1,3768ebf1fe7a4eaebde47adb2c5e0eaa,2023-03-29_11-55-08,1680083708,2505.1541974544525,117408,hostname,127.0.0.1,2505.1541974544525,0,1,0.005208492279052734,"62_early_stop=True,lambda_reg=0.0201,learning_rate=0.0529,max_epochs=5000",0.3,False,256,5000,True,0.05289297338149291,0.02010433737679538,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00063,2.126,212.6,0.15400000000000003,0.5711215154280442,0.42887848457195565,0.22491105109136536,0.9787399999999999,0.0,0.6254966326530612,495.23275062720006,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,0.0,0.0014213152717261258,0.07501455655162637,0.3,0.0,0.0,0.25,2473.410078525543,True,,,1,b2fb54fdfd344a8fa52d8eb063692235,2023-03-29_11-54-37,1680083677,2473.410078525543,117419,hostname,127.0.0.1,2473.410078525543,0,1,0.00656580924987793,"63_early_stop=False,lambda_reg=0.0750,learning_rate=0.0014,max_epochs=5000",0.3,False,256,5000,False,0.0014213152717261258,0.07501455655162637,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00064,1.7160000000000004,171.6,0.917,0.45239204127329946,0.5476079587267004,0.6843084219248007,0.98284,0.0,0.9572670408163265,967.4825877756,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,1.0,0.0006657372179515832,0.00011687326966141069,0.3,0.0,0.0,0.25,4831.4148025512695,True,,,1,3aa84269cbe44bd6979842f87e20c3d3,2023-03-29_12-40-22,1680086422,4831.4148025512695,117395,hostname,127.0.0.1,4831.4148025512695,0,1,0.003945589065551758,"64_early_stop=True,lambda_reg=0.0001,learning_rate=0.0007,max_epochs=10000",0.3,False,256,10000,True,0.0006657372179515832,0.00011687326966141069,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00065,0.634,63.4,0.89,0.18196588239388073,0.8180341176061192,0.8513420319479004,0.99366,0.0,0.9291214795918366,961.1104721656,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,0.0,0.04858841190215438,0.0010051822035560443,0.3,0.0,0.0,0.25,4799.187564134598,True,,,1,d64643d47e864f4c82557b2fa4af3900,2023-03-29_12-39-59,1680086399,4799.187564134598,117458,hostname,127.0.0.1,4799.187564134598,0,1,0.005257129669189453,"65_early_stop=False,lambda_reg=0.0010,learning_rate=0.0486,max_epochs=10000",0.3,False,256,10000,False,0.04858841190215438,0.0010051822035560443,"[10.0, 1000.0]",0.3,False,False,0.25
