trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/init_penalty,hparam/penalty_fact,hparam/max_penalty,hparam/multiplier,hparam/dagness_tol,hparam/progress_rate,hparam/max_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/init_penalty,config/penalty_fact,config/max_penalty,config/multiplier,config/dagness_tol,config/progress_rate,config/max_iter
f277f_00000,1.9866666666666668,59.6,0.7132075471698113,0.10989378389300056,0.8901062161069995,0.7916121796606947,0.9337777777777777,0.018893387314439923,0.0,0.9292219421315748,11080.690756741798,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010053377685055834,0.02118345751301189,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55322.42830944061,True,,,1,953e8dd1f9c746edab6efc7507d5d3ca,2023-05-23_06-17-47,1684815467,55322.42830944061,235844,c06,172.16.6.6,55322.42830944061,0,1,0.005475521087646484,"0_lambda_reg=0.0212,learning_rate=0.0001",0.3,False,64,5000,True,0.00010053377685055835,0.02118345751301189,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00001,1.3533333333333333,40.6,0.8641509433962264,0.12110418739804704,0.878895812601953,0.8708964916162969,0.9548888888888889,0.025641025641025616,0.0,0.9726359924969656,10850.817305543998,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0005022905919280118,0.0043007805617035185,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54175.713903427124,True,,,1,06a90bf8e39e43afbd219dbf3c1eb1e4,2023-05-23_05-58-45,1684814325,54175.713903427124,235926,c06,172.16.6.6,54175.713903427124,0,1,0.005448818206787109,"1_lambda_reg=0.0043,learning_rate=0.0005",0.3,False,64,5000,True,0.0005022905919280118,0.0043007805617035185,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00002,0.4600000000000001,13.8,0.9559748427672957,0.042727554703361134,0.9572724452966389,0.9565095688312999,0.9846666666666668,0.009176788124156543,0.0,0.9900338655055636,10888.67290515,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00012255423361505846,0.0018434027310576869,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54364.90353298187,True,,,1,ea1a4473c90a4130a48be3c3c4ea82be,2023-05-23_06-02-00,1684814520,54364.90353298187,235989,c06,172.16.6.6,54364.90353298187,0,1,0.0039675235748291016,"2_lambda_reg=0.0018,learning_rate=0.0001",0.3,False,64,5000,True,0.00012255423361505846,0.0018434027310576869,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00003,2.4,72.0,0.6238993710691824,0.10988324362859052,0.8901167563714093,0.7331901370951843,0.9199999999999999,0.016464237516869075,0.0,0.9068961712457243,11107.634300592601,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0001449894603831816,0.03473614080949781,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55454.22670125961,True,,,1,6ffd43aa480f447abf6f4bfa054c668e,2023-05-23_06-20-09,1684815609,55454.22670125961,235991,c06,172.16.6.6,55454.22670125961,0,1,0.004858732223510742,"3_lambda_reg=0.0347,learning_rate=0.0001",0.3,False,64,5000,True,0.0001449894603831816,0.03473614080949781,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00004,1.5733333333333335,47.2,0.8,0.10828886758581487,0.8917111324141851,0.843257697670451,0.9475555555555555,0.020782726045883958,0.0,0.9567523065040444,11135.726711532003,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0002062706937613756,0.00798675951162442,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55596.05880856514,True,,,1,5d85d156e7464d26a1246b11e5eb7592,2023-05-23_06-22-31,1684815751,55596.05880856514,235993,c06,172.16.6.6,55596.05880856514,0,1,0.004015207290649414,"4_lambda_reg=0.0080,learning_rate=0.0002",0.3,False,64,5000,True,0.00020627069376137557,0.00798675951162442,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00005,1.0,30.0,0.9245283018867925,0.1069531429543219,0.8930468570456782,0.9081819829097639,0.9666666666666668,0.02429149797570851,0.0,0.9774569466724381,11050.673569593999,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00030839053340811127,0.002232004166752146,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55174.629419088364,True,,,1,df24a6bf87024d8a97f3e87e0df9df98,2023-05-23_06-15-29,1684815329,55174.629419088364,235995,c06,172.16.6.6,55174.629419088364,0,1,0.004365682601928711,"5_lambda_reg=0.0022,learning_rate=0.0003",0.3,False,64,5000,True,0.00030839053340811127,0.002232004166752146,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00006,0.9533333333333334,28.6,0.9459119496855346,0.11496971524534563,0.8850302847546544,0.9140152157600344,0.9682222222222222,0.026990553306342792,0.0,0.983627428513228,10251.6036671988,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.000633520471557822,0.00024133362314054978,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,51187.64061975479,True,,,1,3dfdfd3cf9fc4638bb89159449fb960e,2023-05-23_05-09-03,1684811343,51187.64061975479,235997,c06,172.16.6.6,51187.64061975479,0,1,0.004162788391113281,"6_lambda_reg=0.0002,learning_rate=0.0006",0.3,False,64,5000,True,0.000633520471557822,0.0002413336231405498,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00007,0.9466666666666667,28.4,0.8566037735849058,0.03860764598395781,0.9613923540160423,0.9058013427163093,0.9684444444444444,0.007557354925775983,0.0,0.970598969605921,10713.376447847599,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00013669624290852688,0.008560615717691499,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,53490.953486442566,True,,,1,afee281701a64e22963089cfa86a6f12,2023-05-23_05-47-26,1684813646,53490.953486442566,235999,c06,172.16.6.6,53490.953486442566,0,1,0.0043904781341552734,"7_lambda_reg=0.0086,learning_rate=0.0001",0.3,False,64,5000,True,0.00013669624290852688,0.008560615717691499,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00008,1.7,51.0,0.7270440251572328,0.061560422871498835,0.9384395771285012,0.819127913360363,0.9433333333333334,0.010256410256410286,0.0,0.9575891834084483,11186.406696820002,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0005473544991945092,0.01995919627095662,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55855.639259815216,True,,,1,617a790af41745088fa06b1ead131628,2023-05-23_06-26-56,1684816016,55855.639259815216,236356,c06,172.16.6.6,55855.639259815216,0,1,0.005064249038696289,"8_lambda_reg=0.0200,learning_rate=0.0005",0.3,False,64,5000,True,0.0005473544991945092,0.01995919627095662,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
f277f_00009,0.7,21.0,0.9547169811320755,0.08177059752221538,0.9182294024777846,0.9357117922338742,0.9766666666666668,0.018623481781376537,0.0,0.987272001969122,10925.1515803826,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00040790202124561467,0.00016334960129004447,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54550.006773233414,True,,,1,3959a89c46c848e1ac6f13bd969c7b59,2023-05-23_06-05-15,1684814715,54550.006773233414,236422,c06,172.16.6.6,54550.006773233414,0,1,0.0051043033599853516,"9_lambda_reg=0.0002,learning_rate=0.0004",0.3,False,64,5000,True,0.00040790202124561467,0.00016334960129004447,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
